referrer,views_total,views_unique
github.com,460,140
Google,82,54
go.bsky.app,42,32
coop-563-followup.serendipty01.dev,32,2
roost.tools,31,17
community.roost.tools,18,2
roostorg.github.io,15,3
cubic.dev,6,3
job-boards.greenhouse.io,4,4
l.facebook.com,4,1
