referrer,views_total,views_unique
github.com,413,113
Google,99,53
roost.tools,48,16
community.roost.tools,17,1
DuckDuckGo,5,5
Bing,4,3
chatgpt.com,3,3
julietshen.online,3,2
robust-open-online-safety-tools.breezy.hr,2,2
roost.mashbean.net,2,1
