url_path,views_total,views_unique
/roostorg/coop,251,123
/roostorg/coop/pulls,83,13
/roostorg/coop/issues,58,22
/roostorg/coop/pull/1022,30,5
/roostorg/coop/pull/881,25,5
/roostorg/coop/issues/387,24,10
/roostorg/coop/pull/643,21,6
/roostorg/coop/pull/933,19,5
/roostorg/coop/pull/1026,17,5
/roostorg/coop/issues/386,15,6
