time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-21 00:00:00+00:00,2119,72,112,42
2026-08-22 00:00:00+00:00,1161,30,84,11
2026-08-23 00:00:00+00:00,538,25,61,20
2026-08-24 00:00:00+00:00,1023,59,114,27
2026-08-25 00:00:00+00:00,92,28,76,22
2026-08-26 00:00:00+00:00,394,53,53,26
2026-08-27 00:00:00+00:00,146,34,67,26
2026-08-28 00:00:00+00:00,281,25,60,24
2026-08-29 00:00:00+00:00,16,14,10,6
2026-08-30 00:00:00+00:00,110,6,9,5
2026-08-31 00:00:00+00:00,926,46,155,43
2026-09-01 00:00:00+00:00,1271,90,200,45
2026-09-02 00:00:00+00:00,945,94,164,52
2026-09-03 00:00:00+00:00,126,35,97,42
