time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-08 00:00:00+00:00,361,49,207,53
2026-09-09 00:00:00+00:00,379,75,135,25
2026-09-10 00:00:00+00:00,309,57,179,54
2026-09-11 00:00:00+00:00,649,86,172,33
2026-09-12 00:00:00+00:00,38,22,92,32
2026-09-13 00:00:00+00:00,150,49,90,25
2026-09-14 00:00:00+00:00,394,69,246,79
2026-09-15 00:00:00+00:00,1330,149,620,85
2026-09-16 00:00:00+00:00,515,85,134,31
2026-09-17 00:00:00+00:00,1581,199,292,67
2026-09-18 00:00:00+00:00,607,119,355,50
2026-09-19 00:00:00+00:00,224,60,75,26
2026-09-20 00:00:00+00:00,48,22,42,12
2026-09-21 00:00:00+00:00,868,104,371,64
