referrer,views_total,views_unique
github.com,434,124
Google,95,56
roost.tools,50,17
go.bsky.app,24,20
community.roost.tools,17,1
roostorg.github.io,10,1
DuckDuckGo,5,5
l.facebook.com,4,1
Bing,3,3
chatgpt.com,3,3
