time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-29 00:00:00+00:00,16,14,10,6
2026-08-30 00:00:00+00:00,110,6,9,5
2026-08-31 00:00:00+00:00,926,46,155,43
2026-09-01 00:00:00+00:00,1271,90,200,45
2026-09-02 00:00:00+00:00,945,94,164,52
2026-09-03 00:00:00+00:00,126,35,97,42
2026-09-04 00:00:00+00:00,1008,65,407,44
2026-09-05 00:00:00+00:00,284,44,102,14
2026-09-06 00:00:00+00:00,69,25,23,12
2026-09-07 00:00:00+00:00,680,92,189,47
2026-09-08 00:00:00+00:00,361,49,207,53
2026-09-09 00:00:00+00:00,379,75,135,25
2026-09-10 00:00:00+00:00,309,57,179,54
2026-09-11 00:00:00+00:00,649,86,172,33
