referrer,views_total,views_unique
github.com,417,155
Google,61,38
go.bsky.app,49,39
coop-563-followup.serendipty01.dev,32,2
roost.tools,29,16
roostorg.github.io,18,6
cubic.dev,6,3
chatgpt.com,4,4
job-boards.greenhouse.io,4,4
l.facebook.com,4,1
