time_iso8601,stars_cumulative
2025-02-25 00:00:00+00:00,1
2025-02-26 00:00:00+00:00,2
2025-02-27 00:00:00+00:00,3
2025-03-01 00:00:00+00:00,4
2025-03-05 00:00:00+00:00,28
2025-03-06 00:00:00+00:00,46
2025-03-07 00:00:00+00:00,49
2025-03-12 00:00:00+00:00,50
2025-03-14 00:00:00+00:00,51
2025-03-18 00:00:00+00:00,52
2025-03-19 00:00:00+00:00,53
2025-03-20 00:00:00+00:00,54
2025-03-22 00:00:00+00:00,55
2025-03-23 00:00:00+00:00,57
2025-03-24 00:00:00+00:00,58
2025-03-26 00:00:00+00:00,59
2025-03-29 00:00:00+00:00,60
2025-03-31 00:00:00+00:00,61
2025-04-01 00:00:00+00:00,62
2025-04-08 00:00:00+00:00,63
2025-04-09 00:00:00+00:00,65
2025-04-13 00:00:00+00:00,66
2025-04-15 00:00:00+00:00,70
2025-04-23 00:00:00+00:00,71
2025-04-27 00:00:00+00:00,72
2025-05-06 00:00:00+00:00,73
2025-05-13 00:00:00+00:00,74
2025-05-14 00:00:00+00:00,75
2025-05-15 00:00:00+00:00,77
2025-05-19 00:00:00+00:00,80
2025-05-26 00:00:00+00:00,81
2025-05-27 00:00:00+00:00,82
2025-05-29 00:00:00+00:00,83
2025-05-30 00:00:00+00:00,85
2025-05-31 00:00:00+00:00,86
2025-06-03 00:00:00+00:00,87
2025-06-08 00:00:00+00:00,88
2025-06-10 00:00:00+00:00,90
2025-06-11 00:00:00+00:00,91
2025-06-12 00:00:00+00:00,93
2025-06-14 00:00:00+00:00,95
2025-06-15 00:00:00+00:00,96
2025-06-18 00:00:00+00:00,97
2025-06-20 00:00:00+00:00,98
2025-06-23 00:00:00+00:00,99
2025-06-25 00:00:00+00:00,100
2025-07-03 00:00:00+00:00,101
2025-07-08 00:00:00+00:00,102
2025-07-09 00:00:00+00:00,103
2025-07-10 00:00:00+00:00,104
2025-07-18 00:00:00+00:00,105
2025-07-20 00:00:00+00:00,106
2025-07-22 00:00:00+00:00,110
2025-07-28 00:00:00+00:00,111
2025-08-01 00:00:00+00:00,112
2025-08-03 00:00:00+00:00,113
2025-08-04 00:00:00+00:00,115
2025-08-08 00:00:00+00:00,118
2025-08-10 00:00:00+00:00,120
2025-08-11 00:00:00+00:00,121
2025-08-13 00:00:00+00:00,124
2025-08-14 00:00:00+00:00,128
2025-08-16 00:00:00+00:00,129
2025-08-17 00:00:00+00:00,130
2025-08-20 00:00:00+00:00,132
2025-08-27 00:00:00+00:00,133
2025-08-31 00:00:00+00:00,134
2025-09-01 00:00:00+00:00,135
2025-09-02 00:00:00+00:00,138
2025-09-03 00:00:00+00:00,140
2025-09-04 00:00:00+00:00,142
2025-09-05 00:00:00+00:00,143
2025-09-14 00:00:00+00:00,144
2025-09-18 00:00:00+00:00,145
2025-09-26 00:00:00+00:00,146
2025-10-02 00:00:00+00:00,147
2025-10-05 00:00:00+00:00,148
2025-10-06 00:00:00+00:00,149
2025-10-08 00:00:00+00:00,150
2025-10-15 00:00:00+00:00,153
2025-10-22 00:00:00+00:00,154
2025-10-28 00:00:00+00:00,155
2025-10-29 00:00:00+00:00,159
2025-10-30 00:00:00+00:00,164
