time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-08 00:00:00+00:00,1,1,28,8
2026-09-09 00:00:00+00:00,0,0,21,6
2026-09-10 00:00:00+00:00,0,0,7,6
2026-09-11 00:00:00+00:00,2,2,9,4
2026-09-12 00:00:00+00:00,4,3,7,2
2026-09-13 00:00:00+00:00,0,0,0,0
2026-09-14 00:00:00+00:00,81,20,59,8
2026-09-15 00:00:00+00:00,36,12,32,10
2026-09-16 00:00:00+00:00,8,5,3,3
2026-09-17 00:00:00+00:00,12,6,17,7
2026-09-18 00:00:00+00:00,1,1,10,6
2026-09-19 00:00:00+00:00,2,1,2,2
2026-09-20 00:00:00+00:00,0,0,6,4
2026-09-21 00:00:00+00:00,32,11,31,12
