referrer,views_total,views_unique
github.com,159,56
Google,67,33
roost.tools,48,18
chatgpt.com,30,4
discord.com,22,16
linkedin.com,8,1
Bing,5,2
go.bsky.app,3,3
kagi.com,3,1
search.brave.com,3,1
