referrer,views_total,views_unique
github.com,188,64
Google,60,35
roost.tools,30,19
chatgpt.com,30,4
discord.com,18,12
linkedin.com,8,1
search.brave.com,4,2
go.bsky.app,3,3
Bing,3,2
kagi.com,3,1
