referrer,views_total,views_unique
Google,116,37
github.com,111,41
developers.openai.com,51,3
discord.com,47,22
robust-open-online-safety-tools.breezy.hr,16,5
roost.tools,14,10
search.brave.com,9,2
linkedin.com,2,2
roostorg.github.io,2,2
indieweb.social,2,1
