referrer,views_total,views_unique
github.com,139,50
Google,64,35
roost.tools,43,15
chatgpt.com,30,4
discord.com,19,15
linkedin.com,8,1
Bing,5,2
kagi.com,3,1
search.brave.com,3,1
go.bsky.app,2,2
