referrer,views_total,views_unique
Google,108,36
github.com,99,35
developers.openai.com,50,2
discord.com,46,19
robust-open-online-safety-tools.breezy.hr,16,5
roost.tools,14,10
search.brave.com,7,2
linkedin.com,2,2
indieweb.social,2,1
arxiv.org,1,1
