time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-08 00:00:00+00:00,18,16,58,21
2026-09-09 00:00:00+00:00,27,22,35,25
2026-09-10 00:00:00+00:00,40,18,51,24
2026-09-11 00:00:00+00:00,31,16,84,26
2026-09-12 00:00:00+00:00,14,11,19,13
2026-09-13 00:00:00+00:00,31,19,24,11
2026-09-14 00:00:00+00:00,61,15,30,18
2026-09-15 00:00:00+00:00,17,13,44,20
2026-09-16 00:00:00+00:00,48,10,68,27
2026-09-17 00:00:00+00:00,72,30,76,27
2026-09-18 00:00:00+00:00,1306,31,165,33
2026-09-19 00:00:00+00:00,19,16,19,11
2026-09-20 00:00:00+00:00,16,9,34,9
2026-09-21 00:00:00+00:00,151,27,63,21
