url_path,views_total,views_unique
/roostorg/osprey,202,140
/roostorg/osprey/issues,26,10
/roostorg/osprey/pulls,25,10
/roostorg/osprey/discussions/484,18,11
/roostorg/osprey/blob/main/docs/rules.md,16,4
/roostorg/osprey/pull/504,13,1
/roostorg/osprey/tree/main,12,5
/roostorg/osprey/tree/main/example_rules,11,6
/roostorg/osprey/pull/402,10,7
/roostorg/osprey/tree/main/docs,10,7
