referrer,views_total,views_unique
Google,111,39
github.com,82,32
developers.openai.com,49,1
roost.tools,40,12
discord.com,38,18
robust-open-online-safety-tools.breezy.hr,16,5
search.brave.com,7,2
Bing,2,1
indieweb.social,2,1
DuckDuckGo,1,1
