referrer,views_total,views_unique
Google,99,39
github.com,93,34
developers.openai.com,49,1
discord.com,42,17
roost.tools,16,11
robust-open-online-safety-tools.breezy.hr,16,5
search.brave.com,7,2
indieweb.social,2,1
arxiv.org,1,1
com.slack,1,1
