referrer,views_total,views_unique
github.com,153,53
Google,68,36
roost.tools,44,16
chatgpt.com,30,4
discord.com,19,15
linkedin.com,8,1
Bing,5,2
go.bsky.app,3,3
kagi.com,3,1
search.brave.com,3,1
