referrer,views_total,views_unique
github.com,209,68
Google,82,40
discord.com,67,24
roost.tools,33,23
chatgpt.com,30,4
Bing,10,3
robust-open-online-safety-tools.breezy.hr,4,2
go.bsky.app,3,3
DuckDuckGo,2,2
bsky.app,2,2
