time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-26 00:00:00+00:00,6,5,21,11
2026-08-27 00:00:00+00:00,7,5,24,12
2026-08-28 00:00:00+00:00,3,3,45,17
2026-08-29 00:00:00+00:00,4,4,7,6
2026-08-30 00:00:00+00:00,3,2,4,2
2026-08-31 00:00:00+00:00,13,12,12,7
2026-09-01 00:00:00+00:00,7,5,25,7
2026-09-02 00:00:00+00:00,2,2,19,11
2026-09-03 00:00:00+00:00,4,2,22,12
2026-09-04 00:00:00+00:00,2,1,5,5
2026-09-05 00:00:00+00:00,4,4,11,5
2026-09-06 00:00:00+00:00,9,6,17,5
2026-09-07 00:00:00+00:00,5,2,5,3
2026-09-08 00:00:00+00:00,3,2,11,4
