time_iso8601,stars_cumulative
2025-10-28 00:00:00+00:00,1
2025-10-29 00:00:00+00:00,21
2025-10-30 00:00:00+00:00,37
2025-10-31 00:00:00+00:00,44
2025-11-01 00:00:00+00:00,47
2025-11-03 00:00:00+00:00,49
2025-11-04 00:00:00+00:00,50
2025-11-07 00:00:00+00:00,51
2025-11-10 00:00:00+00:00,52
2025-11-11 00:00:00+00:00,53
2025-11-12 00:00:00+00:00,55
2025-11-13 00:00:00+00:00,57
2025-11-14 00:00:00+00:00,59
2025-11-16 00:00:00+00:00,60
2025-11-17 00:00:00+00:00,61
2025-11-19 00:00:00+00:00,62
2025-11-23 00:00:00+00:00,63
2025-11-28 00:00:00+00:00,66
2025-12-01 00:00:00+00:00,67
2025-12-03 00:00:00+00:00,68
2025-12-08 00:00:00+00:00,69
2025-12-12 00:00:00+00:00,71
2025-12-14 00:00:00+00:00,72
2025-12-17 00:00:00+00:00,74
2025-12-18 00:00:00+00:00,75
2025-12-22 00:00:00+00:00,76
2025-12-28 00:00:00+00:00,77
2026-01-04 00:00:00+00:00,79
2026-01-06 00:00:00+00:00,80
2026-01-07 00:00:00+00:00,81
2026-01-08 00:00:00+00:00,82
2026-01-10 00:00:00+00:00,83
2026-01-15 00:00:00+00:00,84
2026-01-30 00:00:00+00:00,85
2026-02-04 00:00:00+00:00,86
2026-02-06 00:00:00+00:00,87
2026-02-11 00:00:00+00:00,88
2026-02-17 00:00:00+00:00,89
2026-02-18 00:00:00+00:00,90
2026-02-26 00:00:00+00:00,91
2026-03-01 00:00:00+00:00,92
2026-03-04 00:00:00+00:00,93
2026-03-10 00:00:00+00:00,94
2026-03-14 00:00:00+00:00,96
2026-03-24 00:00:00+00:00,97
2026-03-26 00:00:00+00:00,98
2026-03-27 00:00:00+00:00,99
2026-03-29 00:00:00+00:00,100
2026-04-01 00:00:00+00:00,101
2026-04-03 00:00:00+00:00,103
2026-04-06 00:00:00+00:00,105
2026-04-08 00:00:00+00:00,106
2026-04-09 00:00:00+00:00,107
2026-04-17 00:00:00+00:00,108
2026-04-30 00:00:00+00:00,109
2026-05-03 00:00:00+00:00,110
2026-05-12 00:00:00+00:00,111
2026-05-13 00:00:00+00:00,112
2026-05-21 00:00:00+00:00,113
2026-05-27 00:00:00+00:00,114
2026-06-18 00:00:00+00:00,115
2026-06-24 00:00:00+00:00,116
2026-06-30 00:00:00+00:00,117
2026-07-09 00:00:00+00:00,118
2026-07-10 00:00:00+00:00,119
2026-07-11 00:00:00+00:00,120
2026-07-13 00:00:00+00:00,121
2026-07-16 00:00:00+00:00,122
2026-07-18 00:00:00+00:00,124
2026-07-20 00:00:00+00:00,125
2026-08-07 00:00:00+00:00,126
2026-08-13 00:00:00+00:00,127
2026-08-19 00:00:00+00:00,128
2026-08-20 00:00:00+00:00,130
2026-08-23 00:00:00+00:00,131
2026-08-25 00:00:00+00:00,132
